content,label_self
sayang g bisa digunakan m bca gbisa dipake q butuh transfer buat isi paketan 😡😡😡 diperbaiki m bca,-1
"jelek aplikasi payah BCA,masak tau tau kluar sendiri dan tidak bisa ceklis 2 ,udh di uninstall dn install ulang ttp aja payah",-1
baik,0
"suka loading kalau dibuka,, gak bisa sat set lampunya selalu merah kalau mau transaksi. mesti tgu brp menit baru lampu berubah hijau",-1
"Peringatan yang selalu mengganggu ""Transaksi dapat dilakukan setelah lampu indikator berwarna hijau""",-1
"bukti quirs tidak ada tetapi saldo terpotong dan mutasai nya berasil ,apa bukti quris nya di korupsi,dan pihak penerima tidak ada saldo yg di terima sepeser pun",-1
"ini ko aneh ya ga bsa buat transfer,merah trs",-1
aneh awal bulan udh kepotong 40rb,-1
sering gangguan,-1
makin k sini makin ssuasah aja buka BCA mobile jaringan bagus tapi susah d akses,-1
ini kenapa 205 - sementara transaksi tidak bisa di proses sudah 1 bulan ni knp ?,-1
"Sama aja susah lah, mending di save manual udahlah",-1
pas udh update lampu hijau lama . dan agak lem ot .,-1
"Dear BCA sekarang kartu ATM yang baru beda dengan yang lama, nama pemilik dan nomor kartu yang tercetak di kartu ATM, tidak dicetak EMBOSS(timbul). lebih bagus yg versi lama...tp fitur ok, top up e wallet bisa brp aja, ga perlu ngantri di ATM. Bisa belanja online bayar dengan Debit online 🏧🏦.",0
"Sangat ribet... lama gak di buka,malah di suruh aktifkan di Atm Bca...parah.. gak mutu aplikasi ini..",-1
sangat sangat bagus sekalib,1
"trf antar bca eror mulu, heran",-1
"lemot parah sudah berminggu2,padahal jaringan lancar bgt padahal masa transaksi harus pake kartu lagi?? tolong dong di perbaiki",-1
abis upgrade sinyal jelek.. parah,-1
lemottttt gabisa sat set di update tambah parah !!!,-1
agar di perbaiki sistem,-1
"sering ngeblank, adminnya mahal",-1
suka eror ga jelas,-1
gampan d pahami,1
"login lama, sinyal merah teruss bikin repot aja bukan memudahkan",-1
menurut saya ini bank yang terbaik selain pelayan nya yang gercep jika ingin tanya tanya admin langsung sigap,1
mau bikin rekening aja susahnya error dari pelayanannya,-1
"m-banking sy gk bisa d buka, paketnya ada, tp gk mau d buka kenapa ya",-1
makin ke sini makin jaringan nya slalu biru lemot banget harus di pebaikin lagi biar transaksi nya ga lemot,-1
kenapa Gak bisa dibantu perbaiki pasword lewat panggilan tlpon.kalau ke bank terlalu ribet dan makan waktu,-1
"woy BCA gmna sih kode otp GK d kirim2 gimana mau bisa d gunain, stres BCA udh BRP kali klik minta kode otp GK d kirim2. sumpah taikkk banget ini bca",-1
pas mau masuk pesan nya ga di bales bales,-1
habis di-update koneksi jadi lemoott,-1
lama ya laporan uang ke pengirim tidak sampai ke saldo tidak balik lagi. peroses lama. uang lari nya kemana ya. apakah masih aman menggunakan BCA. ? kalo masih aman ko proses lama ya.,-1
terima,0
mbangking BCA kenapa ya kok akhir akhir ini lemot sekali ?? bukan cuma di saya tapi di teman dan suami saya mbangking BCA nya sangat amat lemot,-1
"bca skarang pelayanan nya koq jelek banget ya ngga kaya dulu,.dulu pelayanan nya cukup 1 org dan cepet selesai nya,tapi sekarang buka rekening aja harus di lempar sana sini,harus di tangani 4 org,itu yg menjadi lama banget selesai nya,masuk jam 08:15 ,selesai jam 10:15,.satpam dulu sama yg skrg jauh lebih ramah yg dulu,.satpam bca dulu terkenal ramah dalam menyambut dan membantu nasabah tp skrg keliatan kaku banget..ini sy alami di bca kcb Cikande,yg di ruko kawasan industri ckd..",-1
"makin kesini makin lemot, lampu indikator lama berubahnya. padahal sinyal dan kecepatan kuota saya lumayan.",-1
aplikasi burik. ganti device gagal verifikasi wajah. sudah daftar ulang di ATM. ulang lagi verifikasi wajah lagi dan gagal lagi. benar2 ngerjain orang dan sangat bikin kecewa mau cepat jadi lambat begini,-1
"kalau thn 2018 ,jujur BCA memang top pelayanan nya bagus,ramah dan cepat,namun tadi pagi saya ke bca ,koq pelayanan nya parah amat yaa? sy mau buka rekeninh aja sampai harus di lempar sana sini,sampai 4 org yg nangani,klo dulu kan 1 org juga cukup dan lgsg selesai..makin ke sini pelayanan nya makin ajurrr,sy alami di kancab nya bca cikande yg di ruko..sy masuk jam 08.15 ,selesai jam 10 :15 lama banget.",-1
GILA LEMOT BGT SKRG MERAH MULU PDHL JARINGAN BAGUS,-1
"mohon bantuannya, kok pas registrasi indikator nya hilang? padahal udah coba registrasi hampir 15x ttp aja g muncul indikatornya, sampe abis pulsanya buat nyoba tp ttp gabisa aja, mohon solusinya🙏🙏",-1
telalu bertele tele oprator cs bernama putri,-1
mantap,0
susah dapat signal hijau. apalagi dimall,-1
"Lha kok sekarang sering banget nyala merah terus, gak bisa diapa2kan. jangan bilang jaringan internet saya lambat atau HP saya error ya. yg bener aja, wong lancar buat streaming gini. Dan parahnya ini admin cuma nyalahkan pengguna karena jaringannya yg lemot. Woeee ngaca lah, ini semua pada protes dot merahnya yg lama nunggu hijau, bukan hanya saya.",-1
"makin ksni makin parah merah mulu ,notifikasi kaga muncul,tolong d perbaiki",-1
lemot terus aplikasinya gk beres padahal device saya normal gk ada masalah jaringan juga bagus masih aja lama loadingnya gk jelas,-1
setelah di update malah jd jelek merahnya makin lbh lama transaksi mau cepet jd harus nunggu lbh lama,-1
iniii kenapa ya kok apk BCA gabisa di buka tolong dong yang bener,-1
oke,0
merah terus ni apk,-1
tolong berikutnya update menu tambahan kotak masuk (khusus transferan masuk saja),-1
"sumpah ni aplikasi sampah betul, mau aktifin mbanking aja susah betul, berapa kali coba gk bisa2 sampai habis pulsa buat kirim SMS ke BCA. SAMPAH SAMPAHHH",-1
gajelas sekarang indikator nya merah terus padahal jaringan bagus,-1
"km kenapa sih akhir² ini kek siput, lemot bgt 😭",-1
"skrng sistemnya sangat lambat, jdi memperjambat pekerjaan",-1
SISTEM BCA MOBILE SANGAT LEMOT KETIKA ADA URGENT TRANSAKSI JADI PENGHAMBAT!!!!,-1
saya baru buka rekening terus daftar sukses saldo saya masih kosong terus saya isi lewat dana pengiriman uang sukses tapi saya cek saldo saya ko masih kosong belum masuk padahal saya dapat SMS ada transferan masuk saya cek saldo masih kosong,-1
kenapa sinyalnya sekarang merah terus sih semenjak update? padahal sinyal bgus posisi jugak di tempat strategis,-1
knp ko apk nya lelet pdhl kuota ada n sinyal bagus..tolong BCA di perbaiki soalnya ini sangat menghambat sy dlm transaksi...ini terjadi stlh di update..mohon di perhatikan,-1
"cuma mindahin SIM-card langsung minta verifikasi ulang, mana pake pulsa lagi. ribet bener ni aplikasi, dikit dikit verifikasi masalah sepele",-1
"entah setelah update kok berasa indikator hijaunya lama sekali , sebelum update ga begitu deh min",-1
"sangat membantu dan memeuaskan untuk transaksi belanja, dan mudah untuk di pelajari",-1
bagus,1
jncok koq DA pot GK jls,-1
potongan nya ngeri banget tolong min potongan tiap bulan satu kali aja masa ini 1 bulan potongan dulu kali 😭,-1
sangat membamtu,1
"saldo terpotong tiba-tiba, nominal sih sedikit, tapi untuk potongan apa?? baru kali ini kejadian di BCA mobile",-1
sekarang lemot banget pakai wifi atau data nggak hijau hijau lampunya padahal kita pakai mobile banking butuh kecepatan buat pembayaran,-1
"Di update bulannya makin bagus lancar ,ini malah lemot padahal jaringan bagus. hadeuhh",-1
okey,0
aplikasi bagus keren tapi selalu ada masalah dikit dikit,-1
"setelah diupdate makin lemot ,",-1
nunggu lampu indikator merah ke hijau lama banget... pdahal jaringan 5G,-1
diUpdate malahan sinyal merah teruss.... jdi susah bwat transaksi.... Parah,-1
sangat mudah,1
"sangat sangat buruk sejak november aplikasinya susah untuk digunakan , lemoottt sangaatt lemoottt , lampunya merah teruuss mempersulit transaksi , pokoknya skrg sama aplikasi ini don't like!!!",-1
kenapa ya kadang koq eror kayak jaringan bagus tapi indikator lampu merah terus,-1
top,1
tolong ya admin BCA beberapa minggu ini seringan eror dimalam hari,-1
membuat semua nya lebih mudah yg,1
ok,0
dikit dikit eror ke kantor...respon lambat,-1
"lag banget, padahal jaringan full buat app lain lancar tapi pas buka mbanking cacat",-1
setelah update lemot nya minta ampun,-1
suka,0
ngelag bangetttt,-1
Bagus sih cuma sekarang mah lemot aplikasinya gak kayak dulu,-1
Oke,0
semakin ke sini semakin lemot,-1
aplikasi error terus. gak berguna. mau cek saldo aja gak bisa terus apa gunanya instal aplikasi ini ? Bikin kesel aja !,-1
tolol,-1
thanks for ABC,1
"mbankingnya kenapa ya min tiap saya buka selalu lampunya merah terus, apalagi kalau mau transaksi jadi semakin lama gara gara lampunya merah padahal sinyal hp saya kuat",-1
"tampilan aplikasi sangat jelek, dan membingungkan. harusnya bisa lebih bagus tampilannya agar memudahkan transaksi",-1
Sekelas BCA mbankingnya bermasalah Mulu. Halo IT nya gak bekerja kah? Stuck di laman saat ini transaksi.....bla..bla ga jelas,-1
sering di update makin sini tambah buruk . enak pke MYBCA,-1
terkadang signal nya selalu merah dan harus nunggu lama sampai berubah hijau,-1
aktivasi kaga bisa2 udah abis pulsa 20 rb aplikasi tolol makin lama makib ga beres,-1
kenapa tidak bisa di downlode lagi,-1
"kode nya GK masuk"" cok",-1
ahhh...errorrr,-1
"aplikasi sangat lelet ya,,dari lampu merah ke biru sampai ke hijau aja sangat lama,,bener,,,",-1
"akhir akhir ini app loading butuh waktu lumayan lama baik itu untuk cek mutasi ataupun utk transaksi, harap diperhatikan masalah ini karena bila lemot akan sangat mengganggu. Btw tak lama setelah review langsung dpt respon dari pengembang. Perlu diketahui saat ini saya menggunakan device android 15 yg mana sebelumnya pada device android 13 lancar jaya dengan jaringan yg sama.",-1
update yg terbaru malah jadi lelet. Masi mendingan versi yg lama cepat tdk lelet,-1
"ini kok susah banget buat login, padahal kartu aktif & pulsa pun ada. udah 2 hari kek gini",-1
masukan kode 6 dijid susah minta ampun sampai habiskan uang ribuh rupiah sampai saat ini..otp..sampai datang ke kantor bca lama gak bisa2 trs pulang,-1
"mau pake aplikasi mobile BCA aja smpe harus habisin pulsa dulu, itupun jg masih blm bisa masuk verifikasi cm gara² notif nunggu indikator berwarna hijau. tolong dong diperbaiki lagi aplikasinya....",-1
"cuma pindah hp aja susah banget sekarang. udah verifikasi KTP sama wajah sukses, tinggal kirim kode otp smp 5 hari kodenya gk masuk2 udah di ulang beberapa kali tetep gk masuk SMS kode otpnya, pdahal saya terima SMS dari nomor lain bisa.",-1
